step,total_force_ry_bohr
89,0.344887
44,0.202945
39,0.085075
39,0.051184
39,0.04862
38,0.043438
41,0.03407
40,0.02896
38,0.02607
39,0.023555
39,0.021423
38,0.019263
38,0.016631
39,0.014872
37,0.014176
38,0.014018
40,0.013612
37,0.012995
37,0.012669
39,0.013166
40,0.014351
40,0.015635
40,0.015965
39,0.015301
38,0.01448
39,0.014082
40,0.01348
46,0.012058
46,0.010536
40,0.009439
38,0.008486
37,0.007493
37,0.006716
36,0.006478
33,0.006907
36,0.007695
41,0.008984
40,0.010553
39,0.011417
38,0.011732
40,0.011623
41,0.010942
41,0.009666
40,0.008224
40,0.006567
40,0.004976
38,0.003866
38,0.003151
36,0.002699
31,0.002491
