step,total_magnetization_bohr_cell
1,22.45
2,57.1
3,54.69
4,53.98
5,51.36
6,45.07
7,40.91
8,17.41
9,22.63
10,39.72
11,41.87
12,41.92
13,41.94
14,41.78
15,40.79
16,40.41
17,39.88
18,38.94
19,34.67
20,34.1
21,34.42
22,33.65
23,33.03
24,33.45
25,33.27
26,33.32
27,33.17
28,33.25
29,33.3
30,33.29
31,33.29
32,33.23
33,33.21
34,33.16
35,33.13
36,33.1
37,33.1
38,33.08
39,33.07
40,33.07
41,33.07
42,33.06
43,33.06
44,33.06
45,33.05
46,33.05
47,33.04
48,33.04
49,33.03
50,33.03
51,33.03
52,33.02
53,33.02
54,33.02
55,33.02
56,33.01
57,33.01
58,33.01
59,33.01
60,33.0
61,33.0
62,33.0
63,33.0
64,33.0
65,33.0
66,33.0
67,33.0
68,33.0
69,33.0
70,32.99
71,32.99
72,32.99
73,32.99
74,32.99
75,32.99
76,32.99
77,32.99
78,32.99
79,32.99
80,32.99
81,32.99
82,32.99
83,32.99
84,32.99
85,32.99
86,32.99
87,32.99
88,32.99
89,32.99
1,32.9
2,33.71
3,32.83
4,32.81
5,33.05
6,32.91
7,32.94
8,32.94
9,32.95
10,32.95
11,32.94
12,32.95
13,32.94
14,32.94
15,32.96
16,32.94
17,32.94
18,32.94
19,32.94
20,32.94
21,32.94
22,32.94
23,32.94
24,32.94
25,32.94
26,32.94
27,32.94
28,32.94
29,32.94
30,32.94
31,32.94
32,32.94
33,32.94
34,32.94
35,32.94
36,32.94
37,32.94
38,32.94
39,32.94
40,32.94
41,32.94
42,32.94
43,32.94
44,32.94
1,32.83
2,33.84
3,32.82
4,32.71
5,32.98
6,32.87
7,32.89
8,32.9
9,32.91
10,32.91
11,32.9
12,32.92
13,32.9
14,32.91
15,32.9
16,32.9
17,32.9
18,32.9
19,32.9
20,32.9
21,32.9
22,32.9
23,32.9
24,32.9
25,32.9
26,32.9
27,32.9
28,32.9
29,32.9
30,32.9
31,32.9
32,32.9
33,32.9
34,32.9
35,32.9
36,32.9
37,32.9
38,32.9
39,32.9
1,32.84
2,33.63
3,32.83
4,32.76
5,32.92
6,32.87
7,32.88
8,32.88
9,32.88
10,32.88
11,32.88
12,32.89
13,32.88
14,32.89
15,32.88
16,32.88
17,32.88
18,32.88
19,32.88
20,32.88
21,32.88
22,32.88
23,32.88
24,32.88
25,32.88
26,32.88
27,32.88
28,32.88
29,32.88
30,32.88
31,32.88
32,32.88
33,32.88
34,32.88
35,32.88
36,32.88
37,32.88
38,32.88
39,32.88
1,32.87
2,33.15
3,32.82
4,32.85
5,32.89
6,32.87
7,32.88
8,32.88
9,32.87
10,32.87
11,32.87
12,32.87
13,32.88
14,32.88
15,32.87
16,32.88
17,32.87
18,32.87
19,32.87
20,32.87
21,32.87
22,32.87
23,32.87
24,32.87
25,32.87
26,32.87
27,32.87
28,32.87
29,32.87
30,32.87
31,32.87
32,32.87
33,32.87
34,32.87
35,32.87
36,32.87
37,32.87
38,32.87
39,32.87
1,32.88
2,33.11
3,32.78
4,32.88
5,32.86
6,32.88
7,32.87
8,32.87
9,32.87
10,32.87
11,32.87
12,32.87
13,32.88
14,32.87
15,32.87
16,32.87
17,32.87
18,32.87
19,32.87
20,32.87
21,32.87
22,32.87
23,32.87
24,32.87
25,32.87
26,32.87
27,32.87
28,32.87
29,32.87
30,32.87
31,32.87
32,32.87
33,32.87
34,32.87
35,32.87
36,32.87
37,32.87
38,32.87
1,32.9
2,33.13
3,32.68
4,32.93
5,32.86
6,32.88
7,32.88
8,32.88
9,32.87
10,32.87
11,32.87
12,32.87
13,32.89
14,32.88
15,32.87
16,32.88
17,32.87
18,32.87
19,32.87
20,32.87
21,32.87
22,32.87
23,32.87
24,32.87
25,32.87
26,32.87
27,32.87
28,32.87
29,32.87
30,32.87
31,32.87
32,32.87
33,32.87
34,32.87
35,32.87
36,32.87
37,32.87
38,32.87
39,32.87
40,32.87
41,32.87
1,32.91
2,32.86
3,32.72
4,32.93
5,32.87
6,32.88
7,32.88
8,32.88
9,32.87
10,32.87
11,32.87
12,32.87
13,32.88
14,32.87
15,32.88
16,32.87
17,32.87
18,32.87
19,32.87
20,32.87
21,32.87
22,32.87
23,32.87
24,32.88
25,32.87
26,32.87
27,32.87
28,32.87
29,32.87
30,32.87
31,32.87
32,32.87
33,32.87
34,32.87
35,32.87
36,32.87
37,32.87
38,32.87
39,32.87
40,32.87
1,32.9
2,32.66
3,32.86
4,32.88
5,32.88
6,32.87
7,32.88
8,32.88
9,32.87
10,32.87
11,32.87
12,32.88
13,32.87
14,32.87
15,32.88
16,32.88
17,32.87
18,32.87
19,32.87
20,32.87
21,32.87
22,32.87
23,32.88
24,32.88
25,32.87
26,32.87
27,32.87
28,32.87
29,32.87
30,32.87
31,32.87
32,32.87
33,32.87
34,32.87
35,32.87
36,32.87
37,32.87
38,32.87
1,32.9
2,32.53
3,32.82
4,32.89
5,32.87
6,32.88
7,32.87
8,32.87
9,32.87
10,32.88
11,32.88
12,32.88
13,32.87
14,32.87
15,32.88
16,32.87
17,32.88
18,32.87
19,32.88
20,32.88
21,32.88
22,32.87
23,32.88
24,32.88
25,32.87
26,32.88
27,32.88
28,32.88
29,32.88
30,32.88
31,32.88
32,32.88
33,32.87
34,32.87
35,32.88
36,32.88
37,32.88
38,32.88
39,32.88
1,32.92
2,32.31
3,32.81
4,32.91
5,32.87
6,32.88
7,32.88
8,32.88
9,32.88
10,32.88
11,32.88
12,32.88
13,32.87
14,32.87
15,32.88
16,32.88
17,32.88
18,32.88
19,32.88
20,32.88
21,32.88
22,32.88
23,32.88
24,32.88
25,32.88
26,32.88
27,32.88
28,32.88
29,32.88
30,32.88
31,32.88
32,32.88
33,32.88
34,32.88
35,32.88
36,32.88
37,32.88
38,32.88
39,32.88
1,32.92
2,32.39
3,32.83
4,32.91
5,32.87
6,32.88
7,32.88
8,32.88
9,32.88
10,32.88
11,32.88
12,32.88
13,32.88
14,32.87
15,32.88
16,32.88
17,32.88
18,32.88
19,32.88
20,32.88
21,32.88
22,32.88
23,32.88
24,32.88
25,32.88
26,32.88
27,32.88
28,32.88
29,32.88
30,32.88
31,32.88
32,32.88
33,32.88
34,32.88
35,32.88
36,32.88
37,32.88
38,32.88
1,32.92
2,32.5
3,32.85
4,32.91
5,32.88
6,32.89
7,32.89
8,32.89
9,32.89
10,32.89
11,32.89
12,32.89
13,32.89
14,32.88
15,32.89
16,32.89
17,32.89
18,32.89
19,32.89
20,32.89
21,32.89
22,32.89
23,32.89
24,32.89
25,32.89
26,32.89
27,32.89
28,32.89
29,32.89
30,32.89
31,32.89
32,32.89
33,32.89
34,32.89
35,32.89
36,32.89
37,32.89
38,32.89
1,32.93
2,32.6
3,32.88
4,32.92
5,32.9
6,32.9
7,32.9
8,32.9
9,32.9
10,32.9
11,32.9
12,32.91
13,32.9
14,32.9
15,32.91
16,32.9
17,32.9
18,32.9
19,32.9
20,32.9
21,32.9
22,32.9
23,32.9
24,32.9
25,32.9
26,32.9
27,32.9
28,32.9
29,32.9
30,32.9
31,32.9
32,32.9
33,32.9
34,32.9
35,32.9
36,32.9
37,32.9
38,32.9
39,32.9
1,32.95
2,32.71
3,32.94
4,32.93
5,32.92
6,32.92
7,32.92
8,32.92
9,32.92
10,32.92
11,32.92
12,32.92
13,32.92
14,32.92
15,32.92
16,32.92
17,32.92
18,32.92
19,32.92
20,32.92
21,32.92
22,32.92
23,32.92
24,32.92
25,32.92
26,32.92
27,32.92
28,32.92
29,32.92
30,32.92
31,32.92
32,32.92
33,32.92
34,32.92
35,32.92
36,32.92
37,32.92
1,32.97
2,32.76
3,32.96
4,32.93
5,32.94
6,32.94
7,32.93
8,32.94
9,32.94
10,32.94
11,32.94
12,32.94
13,32.94
14,32.94
15,32.94
16,32.94
17,32.94
18,32.94
19,32.94
20,32.94
21,32.94
22,32.94
23,32.94
24,32.94
25,32.94
26,32.94
27,32.94
28,32.94
29,32.94
30,32.94
31,32.94
32,32.94
33,32.94
34,32.94
35,32.94
36,32.94
37,32.94
38,32.94
1,32.98
2,32.82
3,32.93
4,32.97
5,32.95
6,32.96
7,32.95
8,32.96
9,32.96
10,32.96
11,32.96
12,32.96
13,32.96
14,32.96
15,32.96
16,32.96
17,32.96
18,32.96
19,32.96
20,32.96
21,32.96
22,32.96
23,32.96
24,32.96
25,32.96
26,32.96
27,32.96
28,32.96
29,32.96
30,32.96
31,32.96
32,32.96
33,32.96
34,32.96
35,32.96
36,32.96
37,32.96
38,32.96
39,32.96
40,32.96
1,33.0
2,32.88
3,32.9
4,32.98
5,32.97
6,32.98
7,32.97
8,32.97
9,32.98
10,32.98
