step,scf_accuracy_ry
1,117.15098876
2,1429.39174117
3,253.75550371
4,60.00667965
5,104.12187549
6,90.98689555
7,394.04175923
8,429.24254812
9,412.77068516
10,304.63549264
11,1009.60696717
12,36.48273653
13,134.4200997
14,607.92116312
15,569.19868943
16,280.68515966
17,164.18565517
18,11.68050195
19,9.7577751
20,4.55667493
21,12.89743126
22,16.9527032
23,105.2250831
24,29.70425221
25,4.40804052
26,0.53017285
27,0.58158784
28,0.75126607
29,0.54623899
30,0.0437048
31,0.09227987
32,0.07291514
33,0.06490132
34,0.00943113
35,0.03661849
36,0.00670335
37,0.01230296
38,0.01127456
39,0.03055278
40,0.07414753
41,0.01742593
42,0.00320487
43,0.00098535
44,0.00107056
45,0.00053488
46,0.00165807
47,0.00163583
48,0.0005852
49,0.0004982
50,0.00470041
51,0.00599035
52,0.00043294
53,0.00017734
54,0.00014754
55,3.728e-05
56,4.58e-05
57,0.00013256
58,9.751e-05
59,3.914e-05
60,0.00040886
61,0.00077309
62,4.937e-05
63,2.162e-05
64,1.5e-05
65,1.103e-05
66,1.114e-05
67,3.875e-05
68,2.247e-05
69,9.04e-06
70,6.576e-05
71,0.00013952
72,1.129e-05
73,8.23e-06
74,4.92e-06
75,4.44e-06
76,3.86e-06
77,1.087e-05
78,7.47e-06
79,4.11e-06
80,2.593e-05
81,7.952e-05
82,7.51e-06
83,3.96e-06
84,2e-06
85,1.5e-06
86,1.33e-06
87,4.06e-06
88,3.29e-06
89,1.84e-06
90,1.226e-05
91,3.281e-05
92,2.43e-06
93,1.45e-06
94,7e-07
95,6.2e-07
96,5.2e-07
97,1.52e-06
98,1.26e-06
99,6.9e-07
100,3.21e-06
101,1.016e-05
102,1.22e-06
103,5.6e-07
104,3.4e-07
105,2.4e-07
106,2.1e-07
107,4.9e-07
108,4.3e-07
109,2.6e-07
110,1.41e-06
111,4.4e-06
112,6.1e-07
113,2.8e-07
114,1.4e-07
115,1.1e-07
116,9e-08
117,1.8e-07
118,2.2e-07
119,1.4e-07
120,5.4e-07
121,1.99e-06
122,3.1e-07
123,1.2e-07
124,7e-08
125,5e-08
126,4e-08
127,9e-08
128,9e-08
129,5e-08
130,2e-07
131,7.1e-07
132,1.4e-07
133,5e-08
134,3e-08
135,2e-08
136,2e-08
137,3e-08
138,4e-08
139,2e-08
140,8e-08
141,3.4e-07
142,8e-08
143,2e-08
144,2e-08
145,8.8e-09
