step,scf_accuracy_ry
1,55.01426733
2,592.65370338
3,64.52269828
4,31.53395447
5,210.9073293
6,56.3110324
7,222.66480046
8,188.49953059
9,210.17290712
10,68.33271986
11,10.37196161
12,16.17384908
13,14.24946148
14,46.38418225
15,20.4324933
16,15.04084629
17,1.26005385
18,0.53077199
19,0.81830754
20,0.11630412
21,0.0854404
22,0.03056754
23,0.01414163
24,0.01616497
25,0.22754549
26,0.28147207
27,0.02125506
28,0.04414864
29,0.00728815
30,0.00398892
31,0.00239912
32,0.00188818
33,0.00304743
34,0.00181034
35,0.01033371
36,0.01399081
37,0.00230858
38,0.00644184
39,0.00089751
40,0.00567648
41,0.0002908
42,0.00020204
43,0.000199
44,0.00019734
45,0.00160903
46,0.00178384
47,0.0002681
48,0.00026284
49,8.427e-05
50,0.00027955
51,4.39e-05
52,3.664e-05
53,4.274e-05
54,4.477e-05
55,0.00029105
56,0.00018532
57,4.737e-05
58,3.765e-05
59,2.483e-05
60,5.293e-05
61,2.103e-05
62,1.352e-05
63,1.54e-05
64,1.354e-05
65,8.86e-05
66,5.39e-05
67,1.371e-05
68,1.08e-05
69,8.74e-06
70,1.453e-05
71,6.76e-06
72,3.25e-06
73,3.97e-06
74,2.85e-06
75,1.954e-05
76,1.727e-05
77,6.29e-06
78,4.75e-06
79,2.21e-06
80,3.29e-06
81,1.99e-06
82,1.1e-06
83,1.24e-06
84,8.7e-07
85,5.37e-06
86,4.06e-06
87,1.99e-06
88,1.28e-06
89,7e-07
90,9.5e-07
91,6e-07
92,3.5e-07
93,3.8e-07
94,3.6e-07
95,1.8e-06
96,1.63e-06
97,7.3e-07
98,3.5e-07
99,2.2e-07
100,3.6e-07
101,2.8e-07
102,1.3e-07
103,1.2e-07
104,1.3e-07
105,6e-07
106,3.1e-07
107,1.7e-07
108,8e-08
109,8e-08
110,1.3e-07
111,1.3e-07
112,3e-08
113,3e-08
114,6e-08
115,1.9e-07
116,1.1e-07
117,5e-08
118,2e-08
119,4e-08
120,3e-08
121,1.9e-07
122,7e-09
1,0.00167898
2,1.75134712
3,0.00163284
4,0.00448645
5,0.00066433
6,0.00025038
7,0.00020109
8,0.00016722
9,0.0001808
10,4.37e-05
11,1.66e-05
12,0.00022285
13,3.9e-05
14,5.823e-05
15,1.138e-05
16,1.604e-05
17,6.18e-06
18,5.84e-06
19,4.69e-06
20,2.39e-06
21,1.2e-06
22,6.4e-07
23,9.14e-06
24,4.7e-07
25,5.3e-07
26,1.2e-07
27,3e-07
28,1e-07
29,8e-08
30,1.2e-07
31,7e-08
32,4e-08
33,2.6e-07
34,8e-08
35,5.4e-07
36,2e-08
37,3.9e-09
1,0.00137812
2,0.78816287
3,0.01826046
4,0.00919122
5,0.00034478
6,0.00026082
7,0.00030814
8,0.00045625
9,9.863e-05
10,5.07e-05
11,2.255e-05
12,3.84e-05
13,0.00011038
14,0.00026371
15,1.49e-05
16,1.016e-05
17,1.128e-05
18,2.804e-05
19,8.1e-06
20,3.2e-06
21,1.66e-06
22,2.22e-06
23,4.66e-06
24,1.06e-06
25,7.3e-06
26,3.1e-07
27,8.1e-07
28,1.5e-07
29,3.8e-07
30,6e-08
31,6e-08
32,5e-08
33,3e-08
34,8e-08
35,7e-08
36,1.3e-07
37,6e-08
38,1e-08
39,3e-08
40,2e-08
41,1e-08
42,7.3e-09
43,5.6e-09
44,9.9e-09
45,1e-08
46,1.1e-07
47,5e-09
48,5.8e-09
49,1.1e-09
1,0.00347422
2,1.92373629
3,0.03974016
4,0.03531631
5,0.00105683
6,0.00075122
7,0.00062361
8,0.00024011
9,0.00010931
10,6.231e-05
11,3.439e-05
12,0.00039499
13,2.474e-05
14,0.00014996
15,3.385e-05
16,1.98e-05
17,1.794e-05
18,1.267e-05
19,7.11e-06
20,3.96e-06
21,1.94e-06
22,7.84e-06
23,8.6e-06
24,1.4e-06
25,4.42e-06
26,2.8e-07
27,3.8e-07
28,2.6e-07
29,2.8e-07
30,1e-07
31,2.3e-07
32,1.5e-07
33,9.4e-07
34,8e-08
35,1.1e-07
36,7e-08
37,9e-08
38,4e-08
39,2e-08
40,3e-08
41,1e-08
42,4.6e-09
43,3.7e-09
44,5.7e-09
45,3e-08
46,9.7e-10
47,3.9e-09
48,4.8e-10
1,0.00068906
2,0.04160386
3,0.09895494
4,0.01371347
5,0.00061468
6,6.872e-05
7,3.954e-05
8,2.085e-05
9,1.019e-05
10,8.06e-06
11,3.75e-06
12,1.645e-05
13,0.000272
14,4.249e-05
15,4.06e-06
16,2.17e-06
17,1.75e-06
18,1.46e-06
19,1.24e-06
20,7.6e-07
21,2.2e-07
22,3.8e-07
23,5.037e-05
24,1.47e-06
25,2.5e-07
26,2e-07
27,1e-07
28,6e-08
29,4e-08
30,3e-08
31,2e-08
32,2e-08
33,1.74e-06
34,2.3e-07
35,3e-08
36,2e-08
37,1e-08
38,1e-08
39,7.4e-09
40,4.3e-09
41,1.9e-09
42,1.5e-09
43,1.1e-07
44,2e-08
45,4.1e-09
46,2.1e-09
47,1.1e-09
48,7.8e-10
49,4.4e-10
50,3e-10
1,0.00175867
2,0.06689245
3,0.10105136
4,0.07315704
5,0.00155241
6,8.734e-05
7,4.345e-05
8,2.552e-05
9,1.545e-05
10,1.44e-05
11,4.56e-06
12,4.36e-06
13,4.52e-05
14,0.00027018
15,3.98e-06
16,3.3e-06
17,3.09e-06
18,2.45e-06
19,1.44e-06
20,7.7e-07
21,3.3e-07
22,8e-08
23,1.7e-07
24,3.97e-06
25,4.4e-07
26,7e-08
27,2.6e-07
28,5e-08
29,4e-08
30,2e-08
31,6e-08
32,8.1e-09
33,4.9e-09
34,1.9e-07
35,1.8e-07
36,6.7e-09
37,5.4e-09
38,1.2e-09
39,8.8e-10
40,7e-10
41,6.3e-10
42,1e-09
43,5.5e-10
44,1e-09
45,2.7e-09
46,6.2e-10
47,2.8e-10
48,1.2e-10
49,9.1e-11
1,0.00331407
2,0.16716053
3,0.2415792
4,0.10686289
5,0.00175623
6,8.867e-05
7,4.406e-05
8,3.158e-05
9,1.858e-05
10,1.65e-05
11,5.32e-06
12,3.31e-06
13,4.32e-06
14,3.309e-05
15,4.544e-05
16,1.251e-05
17,2.41e-06
18,9.8e-07
19,2.8e-07
20,4.4e-07
21,2.1e-07
22,6e-08
23,6e-08
24,6e-08
25,1.4e-07
26,3e-07
27,1.1e-07
28,4e-08
29,2e-08
30,3e-08
31,1e-08
32,9.2e-09
33,5.2e-09
34,6.7e-09
35,2e-08
36,2.8e-09
37,4.2e-09
38,1.5e-09
39,4.7e-10
40,5.4e-10
41,5.6e-10
42,5.3e-10
43,4e-10
44,3.3e-10
45,1.6e-10
46,6.8e-10
47,2.2e-10
48,2.8e-10
49,2.1e-10
50,2.7e-11
1,0.00155178
2,0.1198471
3,0.16636385
4,0.03202101
5,0.00035219
6,2.434e-05
7,1.639e-05
8,2.101e-05
9,8.34e-06
10,3.1e-06
11,1.61e-06
12,1.1e-06
13,7.4e-07
14,6.24e-06
15,1.641e-05
16,1.745e-05
17,2.26e-06
18,2.4e-07
19,4.1e-07
20,1.4e-07
21,6e-08
22,5e-08
23,4e-08
24,9e-08
25,1.1e-07
26,8e-08
27,3e-08
28,1e-08
29,8.8e-09
30,2e-08
31,4.5e-09
32,1.8e-09
33,1.5e-09
34,1.4e-09
35,9.3e-09
36,1.1e-09
37,1.5e-09
38,9.2e-10
39,7.4e-10
40,3.2e-10
41,3.9e-10
42,4e-10
43,2.1e-10
44,2.9e-10
45,2.1e-10
46,1.8e-10
47,4.4e-10
48,3e-10
49,6.7e-11
1,0.00120401
2,0.12824522
3,0.13368262
4,0.01860105
5,0.00010318
6,1.442e-05
7,1.216e-05
8,1.208e-05
9,9.97e-06
10,1.275e-05
11,2.06e-06
12,1.32e-06
13,1.72e-06
14,0.0001897
15,5.62e-06
16,2.16e-06
17,7.4e-07
18,1.6e-07
19,1e-07
20,1.7e-07
21,6e-08
22,4e-08
23,4e-08
