step,total_magnetization_bohr_cell
1,90.04
2,94.13
3,90.01
4,90.0
5,90.0
6,90.0
7,77.47
8,77.88
9,77.71
10,77.21
11,76.36
12,77.66
13,77.63
14,76.88
15,72.1
16,70.24
17,68.6
18,68.34
19,69.1
20,67.16
21,66.29
22,65.92
23,65.99
24,65.9
25,65.76
26,65.82
27,65.72
28,65.77
29,65.58
30,65.57
31,65.57
32,65.56
33,65.57
34,65.57
35,65.56
36,65.58
37,65.58
38,65.6
39,65.59
40,65.58
41,65.6
42,65.6
43,65.6
44,65.6
45,65.6
46,65.6
47,65.6
48,65.6
49,65.6
50,65.6
51,65.6
52,65.6
53,65.6
54,65.6
55,65.6
56,65.59
57,65.59
58,65.59
59,65.59
60,65.59
61,65.59
62,65.58
63,65.58
64,65.58
65,65.58
66,65.58
67,65.58
68,65.57
69,65.57
70,65.57
71,65.57
72,65.57
73,65.57
74,65.57
75,65.56
76,65.56
77,65.56
78,65.56
79,65.56
80,65.56
81,65.56
82,65.56
83,65.56
84,65.56
85,65.56
86,65.56
87,65.56
88,65.56
89,65.56
90,65.56
91,65.56
92,65.55
93,65.55
94,65.55
95,65.55
96,65.55
97,65.55
98,65.55
99,65.55
100,65.55
101,65.55
102,65.55
103,65.55
104,65.55
105,65.55
106,65.55
107,65.55
108,65.55
109,65.56
110,65.56
111,65.56
112,65.56
113,65.56
114,65.56
115,65.56
116,65.56
117,65.56
118,65.56
119,65.56
120,65.56
121,65.56
122,65.56
1,65.51
2,65.52
3,65.52
4,65.51
5,65.52
6,65.52
7,65.53
8,65.54
9,65.54
10,65.53
11,65.54
12,65.53
13,65.54
14,65.53
15,65.53
16,65.53
17,65.53
18,65.53
19,65.53
20,65.53
21,65.53
22,65.53
23,65.53
24,65.53
25,65.53
26,65.53
27,65.53
28,65.53
29,65.53
30,65.53
31,65.53
32,65.53
33,65.53
34,65.53
35,65.53
36,65.53
37,65.53
1,65.48
2,65.51
3,65.5
4,65.49
5,65.5
6,65.5
7,65.51
8,65.51
9,65.52
10,65.51
11,65.51
12,65.51
13,65.51
14,65.51
15,65.51
16,65.51
17,65.51
18,65.51
19,65.51
20,65.51
21,65.51
22,65.51
23,65.51
24,65.51
25,65.51
26,65.51
27,65.51
28,65.51
29,65.51
30,65.51
31,65.51
32,65.51
33,65.51
34,65.51
35,65.51
36,65.51
37,65.51
38,65.51
39,65.51
40,65.51
41,65.51
42,65.51
43,65.51
44,65.51
45,65.51
46,65.51
47,65.51
48,65.51
49,65.51
1,65.44
2,65.47
3,65.47
4,65.44
5,65.46
